match,group,is_participating,start,end,content
1,1,yes,497,503,40.452
2,1,yes,553,559,40.952
3,1,yes,609,615,41.702
4,1,yes,665,671,42.452
5,1,yes,721,727,43.202
6,1,yes,777,783,44.702
7,1,yes,833,839,45.452
8,1,yes,889,895,46.202
9,1,yes,945,951,46.702
10,1,yes,1001,1007,47.202
11,1,yes,1058,1064,47.952
12,1,yes,1115,1121,48.452
13,1,yes,1172,1178,49.202
14,1,yes,1229,1235,49.702
15,1,yes,1286,1292,50.202
16,1,yes,1343,1349,50.952
17,1,yes,1400,1406,51.952
18,1,yes,1457,1463,52.452
19,1,yes,1514,1520,52.952
20,1,yes,1571,1577,53.452
21,1,yes,1628,1634,53.952
22,1,yes,1685,1691,54.702
23,1,yes,1742,1748,55.702
24,1,yes,1799,1805,56.702
25,1,yes,1856,1862,57.202
26,1,yes,1913,1919,57.952
27,1,yes,1970,1976,58.702
28,1,yes,2027,2033,59.202
29,1,yes,2084,2090,60.452
30,1,yes,2141,2147,60.952
31,1,yes,2198,2204,60.952
32,1,yes,2255,2261,60.952
33,1,yes,2312,2318,61.202
34,1,yes,2369,2375,62.952
35,1,yes,2426,2432,63.452
36,1,yes,2483,2489,64.202
37,1,yes,2540,2546,65.202
38,1,yes,2597,2603,65.952
39,1,yes,2654,2660,66.452
40,1,yes,2711,2717,69.202
41,1,yes,2768,2774,69.952
42,1,yes,2825,2831,70.702
43,1,yes,2882,2888,71.452
44,1,yes,2939,2945,72.202
45,1,yes,2996,3002,72.202
46,1,yes,3053,3059,73.952
47,1,yes,3110,3116,74.952
48,1,yes,3167,3173,82.702
49,1,yes,3224,3230,83.452
50,1,yes,3281,3287,84.202
51,1,yes,3338,3344,84.952
52,1,yes,3395,3401,84.952
