datetime,x,y,z,gyrx,gyry,gyrz,magx,magy,magz,annotation,a,b
0.0,0.963378906,0.143310547,0.432617188,0.0,1.29699707,1.800537109,-23.54041514,-23.24053724,-60.72527473,0,,
0.0,0.950439453,0.154296875,0.421142578,0.0,2.471923828,-0.534057617,-23.54041514,-23.24053724,-60.72527473,0,,
0.0,0.935546875,0.175292969,0.421630859,0.0,3.234863281,-3.387451172,-23.54041514,-23.24053724,-60.72527473,0,,
0.0,0.906738281,0.214355469,0.426269531,0.0,3.128051758,-5.523681641,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.850097656,0.263427734,0.369384766,0.0,1.724243164,-6.66809082,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.836914063,0.275878906,0.374755859,0.0,0.9765625,-5.157470703,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.836669922,0.273193359,0.391357422,0.0,-0.747680664,-3.295898438,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.864013672,0.256103516,0.428222656,0.0,-0.961303711,0.65612793,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.888183594,0.219970703,0.459716797,0.0,1.113891602,4.333496094,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.896728516,0.177734375,0.465820313,0.0,1.983642578,4.684448242,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.900878906,0.156494141,0.459228516,0.0,3.372192383,4.791259766,-23.84029304,-22.94065934,-61.02515263,0,,
0.1,0.892089844,0.139892578,0.445556641,0.0,5.004882813,4.39453125,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.886962891,0.137451172,0.446044922,0.0,4.730224609,3.540039063,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.882568359,0.152587891,0.452148438,0.0,4.470825195,1.358032227,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.884765625,0.156005859,0.443603516,0.0,5.53894043,1.78527832,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.890869141,0.165283203,0.439941406,0.0,6.820678711,1.998901367,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.868164063,0.184570313,0.42578125,0.0,7.919311523,0.534057617,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.849365234,0.205810547,0.434082031,0.0,7.171630859,0.579833984,-23.84029304,-22.94065934,-61.02515263,0,,
0.2,0.831787109,0.217773438,0.445800781,0.0,6.286621094,0.366210938,-23.84029304,-22.94065934,-61.02515263,0,,
0.3,0.805664063,0.247558594,0.441650391,0.0,4.150390625,-0.640869141,-23.84029304,-22.94065934,-61.02515263,0,,
0.3,0.797119141,0.267333984,0.42578125,0.0,1.770019531,-1.174926758,-23.84029304,-22.94065934,-61.02515263,0,,
0.3,0.802246094,0.277099609,0.412109375,0.0,-1.983642578,0.65612793,-23.24053724,-22.34090354,-61.02515263,0,,
0.3,0.839599609,0.248779297,0.413085938,0.0,-3.402709961,4.852294922,-23.24053724,-22.34090354,-61.02515263,0,,
0.3,0.864013672,0.208496094,0.423095703,0.0,-1.571655273,10.26916504,-23.24053724,-22.34090354,-61.02515263,0,,
0.3,0.889404297,0.142089844,0.459960938,0.0,-0.244140625,12.84790039,-23.24053724,-22.34090354,-61.02515263,0,,
0.3,0.904296875,0.1015625,0.478515625,0.0,0.32043457,13.48876953,-23.24053724,-22.34090354,-61.02515263,0,,
0.3,0.915039063,0.080566406,0.492919922,0.0,-1.022338867,9.613037109,-23.24053724,-22.34090354,-61.02515263,0,,
0.4,0.930908203,0.114990234,0.527832031,0.0,-2.9296875,5.889892578,-23.24053724,-22.34090354,-61.02515263,0,,
0.4,0.900146484,0.189453125,0.432861328,0.0,1.510620117,-0.198364258,-23.24053724,-22.34090354,-61.02515263,0,,
0.4,0.835449219,0.229492188,0.396972656,0.0,3.921508789,-3.143310547,-23.24053724,-22.34090354,-61.02515263,0,,
0.4,0.779052734,0.259521484,0.395751953,0.0,1.617431641,-5.661010742,-23.24053724,-22.34090354,-61.02515263,0,,
